gzip,error_bound,compression,data
1.0,0.0,swing,pweather
1.0,0.0,sz,pweather
1.0,0.0,pmc,pweather
13.86,0.01,pmc,pweather
6.09,0.01,swing,pweather
18.24,0.013,pmc,pweather
14.93,0.013,sz,pweather
8.17,0.013,swing,pweather
16.4,0.015,sz,pweather
10.11,0.015,swing,pweather
21.8,0.015,pmc,pweather
16.78,0.017,sz,pweather
12.14,0.017,swing,pweather
25.8,0.017,pmc,pweather
31.72,0.02,pmc,pweather
19.45,0.02,sz,pweather
15.5,0.02,swing,pweather
18.68,0.023,swing,pweather
21.52,0.023,sz,pweather
37.76,0.023,pmc,pweather
41.45,0.025,pmc,pweather
22.98,0.025,sz,pweather
21.11,0.025,swing,pweather
22.88,0.027,sz,pweather
46.69,0.027,pmc,pweather
23.89,0.027,swing,pweather
28.05,0.03,swing,pweather
52.97,0.03,pmc,pweather
23.46,0.03,sz,pweather
118.62,0.05,pmc,pweather
29.09,0.05,sz,pweather
69.4,0.05,swing,pweather
48.15,0.07,sz,pweather
135.14,0.07,swing,pweather
221.58,0.07,pmc,pweather
349.21,0.1,swing,pweather
432.19,0.1,pmc,pweather
79.1,0.1,sz,pweather
