compression,eb,mean,var,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,time_var_shift,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,stability,unitroot_kpss,unitroot_pp,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,data,TFE
SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0
SWING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0
PMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0
SZ,0.01,-7.28562299541381e-06,-0.000662485293006114,0.026340887377730122,0.0,-0.0005863443341674383,0.0,-0.00791501419755868,0.0,-0.0001022801476980585,-0.0001893948413412777,-0.13495198593047483,-0.1819369883131107,0.0710639309680292,0.13230500484868235,0.0001541180775018348,-0.0012891951343660469,-0.03007518796992481,0.00144612893569036,0.014705882352941176,-0.026908306565081083,-0.1873679319493006,0.0,-0.003556181994225675,0.7346318803376457,-0.04932605071286494,-0.12316956858262006,0.2934447980987072,0.03120175597131553,0.00032674442008789054,0.001296834075275229,-4.9631786888184494e-05,0.0,0.0,0.0008878556541757521,-0.021336776682961654,0.0019660459110904614,0.000362379864576385,-0.0011170421026762648,-0.004027303548280504,0.002331443730318802,0.0,0.0,ettm2,0.0045105378782695
SZ,0.01,-7.28562299541381e-06,-0.000662485293006114,0.026340887377730122,0.0,-0.0005863443341674383,0.0,-0.00791501419755868,0.0,-0.0001022801476980585,-0.0001893948413412777,-0.13495198593047483,-0.1819369883131107,0.0710639309680292,0.13230500484868235,0.0001541180775018348,-0.0012891951343660469,-0.03007518796992481,0.00144612893569036,0.014705882352941176,-0.026908306565081083,-0.1873679319493006,0.0,-0.003556181994225675,0.7346318803376457,-0.04932605071286494,-0.12316956858262006,0.2934447980987072,0.03120175597131553,0.00032674442008789054,0.001296834075275229,-4.9631786888184494e-05,0.0,0.0,0.0008878556541757521,-0.021336776682961654,0.0019660459110904614,0.000362379864576385,-0.0011170421026762648,-0.004027303548280504,0.002331443730318802,0.0,0.0,ettm2,-0.0002719866696599
SZ,0.01,-7.28562299541381e-06,-0.000662485293006114,0.026340887377730122,0.0,-0.0005863443341674383,0.0,-0.00791501419755868,0.0,-0.0001022801476980585,-0.0001893948413412777,-0.13495198593047483,-0.1819369883131107,0.0710639309680292,0.13230500484868235,0.0001541180775018348,-0.0012891951343660469,-0.03007518796992481,0.00144612893569036,0.014705882352941176,-0.026908306565081083,-0.1873679319493006,0.0,-0.003556181994225675,0.7346318803376457,-0.04932605071286494,-0.12316956858262006,0.2934447980987072,0.03120175597131553,0.00032674442008789054,0.001296834075275229,-4.9631786888184494e-05,0.0,0.0,0.0008878556541757521,-0.021336776682961654,0.0019660459110904614,0.000362379864576385,-0.0011170421026762648,-0.004027303548280504,0.002331443730318802,0.0,0.0,ettm2,0.0001933832701612
SZ,0.01,-7.28562299541381e-06,-0.000662485293006114,0.026340887377730122,0.0,-0.0005863443341674383,0.0,-0.00791501419755868,0.0,-0.0001022801476980585,-0.0001893948413412777,-0.13495198593047483,-0.1819369883131107,0.0710639309680292,0.13230500484868235,0.0001541180775018348,-0.0012891951343660469,-0.03007518796992481,0.00144612893569036,0.014705882352941176,-0.026908306565081083,-0.1873679319493006,0.0,-0.003556181994225675,0.7346318803376457,-0.04932605071286494,-0.12316956858262006,0.2934447980987072,0.03120175597131553,0.00032674442008789054,0.001296834075275229,-4.9631786888184494e-05,0.0,0.0,0.0008878556541757521,-0.021336776682961654,0.0019660459110904614,0.000362379864576385,-0.0011170421026762648,-0.004027303548280504,0.002331443730318802,0.0,0.0,ettm2,0.0019553177361964
SZ,0.01,-7.28562299541381e-06,-0.000662485293006114,0.026340887377730122,0.0,-0.0005863443341674383,0.0,-0.00791501419755868,0.0,-0.0001022801476980585,-0.0001893948413412777,-0.13495198593047483,-0.1819369883131107,0.0710639309680292,0.13230500484868235,0.0001541180775018348,-0.0012891951343660469,-0.03007518796992481,0.00144612893569036,0.014705882352941176,-0.026908306565081083,-0.1873679319493006,0.0,-0.003556181994225675,0.7346318803376457,-0.04932605071286494,-0.12316956858262006,0.2934447980987072,0.03120175597131553,0.00032674442008789054,0.001296834075275229,-4.9631786888184494e-05,0.0,0.0,0.0008878556541757521,-0.021336776682961654,0.0019660459110904614,0.000362379864576385,-0.0011170421026762648,-0.004027303548280504,0.002331443730318802,0.0,0.0,ettm2,0.0019553207880046
SZ,0.03,-0.0017026256533686334,0.00032310254071529033,0.13819629913946047,0.0,-0.00644354844594722,0.0,0.0050175323260952046,0.0,-0.0009809236401644404,-0.0026998982813258975,-0.7291381056275282,-0.7627067707804187,0.1692137240544297,0.35317432792253295,-0.00037842816003815687,-0.009103288181880184,0.03007518796992481,0.0018657357643834293,-0.004901960784313725,-0.14487721799768732,-0.561740201623504,0.0,-0.0009323628724262607,10.742104237053058,-0.2636227346477114,-0.6164027320772462,1.0690283661419595,-0.0004499715117213179,-0.0018332915736019766,0.0008910045374960503,0.012326112076423989,0.0,0.0,0.003974862575183357,-0.1280019387567528,0.0038441413955742987,0.0076100621576516555,-0.010859638581860339,-0.032424255292172265,0.01704652688359748,0.017543859649122806,-0.03225806451612903,ettm2,0.0016609755717537
SZ,0.03,-0.0017026256533686334,0.00032310254071529033,0.13819629913946047,0.0,-0.00644354844594722,0.0,0.0050175323260952046,0.0,-0.0009809236401644404,-0.0026998982813258975,-0.7291381056275282,-0.7627067707804187,0.1692137240544297,0.35317432792253295,-0.00037842816003815687,-0.009103288181880184,0.03007518796992481,0.0018657357643834293,-0.004901960784313725,-0.14487721799768732,-0.561740201623504,0.0,-0.0009323628724262607,10.742104237053058,-0.2636227346477114,-0.6164027320772462,1.0690283661419595,-0.0004499715117213179,-0.0018332915736019766,0.0008910045374960503,0.012326112076423989,0.0,0.0,0.003974862575183357,-0.1280019387567528,0.0038441413955742987,0.0076100621576516555,-0.010859638581860339,-0.032424255292172265,0.01704652688359748,0.017543859649122806,-0.03225806451612903,ettm2,0.0162701849616058
