Feature,Importance
te,0.1444787609499123
beta,0.012365831956026451
seas_acf1,0.011009199795482889
diff1x_pacf5,0.006181070318366629
x_pacf5,0.0056514337775755265
max_var_shift,0.005068161724079506
mean,0.003960013297359337
unitroot_pp,0.0036409107934878182
max_level_shift,0.003398124094445313
diff1_acf10,0.0030010833913177485
e_acf10,0.002657895907870149
curvature,0.0022207794724756666
seas_pacf,0.00206589312407986
trend,0.001974625153213138
var,0.0013087139218143186
lumpiness,0.0012392837240681428
stability,0.0011621061891802088
linearity,0.0009262968964733613
seasonal_strength,0.0008828703059963276
diff2_acf1,0.0008020402970225778
nonlinearity,0.0007470795954168691
crossing_points,0.0007249263489052969
alpha,0.0006357105583696741
diff1_acf1,0.0006343927843626289
max_kl_shift,0.0006169126594963392
diff2x_pacf5,0.0005831088025068879
time_level_shift,0.00045098810593225357
trough,0.0003749521514445569
time_kl_shift,0.0003656656601827214
diff2_acf10,0.0003082012088283814
flat_spots,0.0002939409115987679
e_acf1,0.00024039417133044175
ARCH.LM,0.00023430585525853711
peak,0.00018607782361640605
entropy,0.00013452385883231193
unitroot_kpss,0.00010076822667845885
time_var_shift,6.001916469663133e-05
x_acf1,3.7579611125663794e-05
x_acf10,3.7537020992101784e-05
hurst,2.1151822054233476e-05
spike,0.0
seasonal_period,0.0
nperiods,0.0
