Feature,Importance
var,0.07404442960308066
max_kl_shift,0.06460350934851673
max_var_shift,0.01933937671538523
x_pacf5,0.017455044958970198
mean,0.008839329304579919
entropy,0.00867031645085461
max_level_shift,0.007947126811399436
e_acf10,0.00597953295913128
diff2_acf1,0.005316888269272781
beta,0.0044558518063645405
seas_pacf,0.00401657086851203
spike,0.0029939023466014074
unitroot_kpss,0.002710997190227687
seas_acf1,0.0025081829071547396
time_kl_shift,0.0024528987671564545
unitroot_pp,0.0021545152175086986
ARCH.LM,0.0021412073352436427
seasonal_strength,0.002026280854753973
trend,0.0017177305464216531
flat_spots,0.0016962496136268019
diff2x_pacf5,0.0016213416243281969
e_acf1,0.0015502687905567813
diff1x_pacf5,0.0013931787958679808
diff1_acf10,0.0013630548083667666
stability,0.0013367994356333892
lumpiness,0.0012368573425087165
curvature,0.0011487869986116699
nonlinearity,0.0010414300679697154
trough,0.0009858406482511517
linearity,0.0009094861967658074
time_level_shift,0.0008553911400137836
x_acf1,0.0007951155997246344
peak,0.00044684397264324865
diff2_acf10,0.0003880237579929227
diff1_acf1,0.00031704088823123833
alpha,0.00031590255927070853
crossing_points,0.00021168715849314342
time_var_shift,7.169104245433742e-05
x_acf10,1.0184137353339154e-05
nperiods,0.0
seasonal_period,0.0
hurst,0.0
