ts_feature,TFE
max_kl_shift,0.7666952466076036
seasonal_strength,0.6754894784990241
flat_spots,0.6372092314327528
diff1_acf1,0.5963508931451786
beta,0.5109664959609767
crossing_points,0.5054792413841374
diff2x_pacf5,0.4839963781484932
seas_pacf,0.4754994694138594
e_acf1,0.4721247216493082
var,0.4717294959636348
mean,0.4486351029922842
x_pacf5,0.4456196994739936
spike,0.4430697830849744
diff1x_pacf5,0.42032885727647273
seas_acf1,0.36300485120755777
diff1_acf10,0.36286850315735697
ARCH.LM,0.3074962523431417
x_acf1,0.3059012484089716
e_acf10,0.29211346581176006
max_var_shift,0.252369875630024
curvature,0.24197411175033734
max_level_shift,0.2317044945033006
nonlinearity,0.20741358716731279
lumpiness,0.1736861344369364
hurst,0.17304328029150456
peak,0.17065142373447914
stability,0.14039395036489877
time_var_shift,0.1335073367395723
diff2_acf1,0.12935506604794036
trend,0.11906828771745306
time_kl_shift,0.10619185451016308
unitroot_kpss,0.10482136904361257
diff2_acf10,0.09608760586406846
time_level_shift,0.08566446669355304
trough,0.08422901595898405
entropy,0.07186987870197654
unitroot_pp,0.0506121000686992
linearity,0.04061966308092884
x_acf10,0.03107032870361735
alpha,0.02984164839363707
nperiods,
seasonal_period,
