compression,eb,data,metric,decompression error
sz,0.01,ettm1,mae,0.0232574269175529
sz,0.03,ettm1,mae,0.0699363127350807
sz,0.05,ettm1,mae,0.1153286695480346
sz,0.07,ettm1,mae,0.1659187823534011
sz,0.1,ettm1,mae,0.2303685843944549
sz,0.15,ettm1,mae,0.3255906999111175
sz,0.2,ettm1,mae,0.420026034116745
sz,0.25,ettm1,mae,0.559675395488739
sz,0.3,ettm1,mae,0.6177488565444946
sz,0.4,ettm1,mae,0.957632839679718
sz,0.5,ettm1,mae,1.162666916847229
sz,0.65,ettm1,mae,1.9105831384658811
sz,0.8,ettm1,mae,3.265828847885132
pmc,0.01,ettm1,mae,0.0123441880568861
pmc,0.03,ettm1,mae,0.0576091781258583
pmc,0.05,ettm1,mae,0.0972349867224693
pmc,0.07,ettm1,mae,0.1308469176292419
pmc,0.1,ettm1,mae,0.1758353859186172
pmc,0.15,ettm1,mae,0.2563336491584778
pmc,0.2,ettm1,mae,0.3266772627830505
pmc,0.25,ettm1,mae,0.4056881070137024
pmc,0.3,ettm1,mae,0.4657445549964905
pmc,0.4,ettm1,mae,0.5803360342979431
pmc,0.5,ettm1,mae,0.6669836640357971
pmc,0.65,ettm1,mae,0.7520884871482849
pmc,0.8,ettm1,mae,0.816433846950531
swing,0.01,ettm1,mae,0.0091389268636703
swing,0.03,ettm1,mae,0.0538534373044967
swing,0.05,ettm1,mae,0.1022027060389518
swing,0.07,ettm1,mae,0.143257662653923
swing,0.1,ettm1,mae,0.2072961628437042
swing,0.15,ettm1,mae,0.3128253221511841
swing,0.2,ettm1,mae,0.4167799055576324
swing,0.25,ettm1,mae,0.5353336930274963
swing,0.3,ettm1,mae,0.6177120208740234
swing,0.4,ettm1,mae,0.8799838423728943
swing,0.5,ettm1,mae,1.1999337673187256
swing,0.65,ettm1,mae,1.715983271598816
swing,0.8,ettm1,mae,3.032071113586426
sz,0.01,ettm1,rmse,0.0308975242078304
sz,0.03,ettm1,rmse,0.0930740386247634
sz,0.05,ettm1,rmse,0.1539416760206222
sz,0.07,ettm1,rmse,0.2205761969089508
sz,0.1,ettm1,rmse,0.3141731321811676
sz,0.15,ettm1,rmse,0.435097873210907
sz,0.2,ettm1,rmse,0.5688557028770447
sz,0.25,ettm1,rmse,0.7646402716636658
sz,0.3,ettm1,rmse,0.8254818320274353
sz,0.4,ettm1,rmse,1.320140361785889
sz,0.5,ettm1,rmse,1.6107475757598877
sz,0.65,ettm1,rmse,2.396003246307373
sz,0.8,ettm1,rmse,3.919278860092163
pmc,0.01,ettm1,rmse,0.0256085880100727
pmc,0.03,ettm1,rmse,0.0857874378561973
pmc,0.05,ettm1,rmse,0.1390800774097442
pmc,0.07,ettm1,rmse,0.1844773590564727
pmc,0.1,ettm1,rmse,0.2473028749227523
pmc,0.15,ettm1,rmse,0.3614066243171692
pmc,0.2,ettm1,rmse,0.4627786874771118
pmc,0.25,ettm1,rmse,0.5782860517501831
pmc,0.3,ettm1,rmse,0.6648901104927063
pmc,0.4,ettm1,rmse,0.824333667755127
pmc,0.5,ettm1,rmse,0.939784586429596
pmc,0.65,ettm1,rmse,1.0295532941818235
pmc,0.8,ettm1,rmse,1.1054892539978027
swing,0.01,ettm1,rmse,0.0228447839617729
swing,0.03,ettm1,rmse,0.0893848240375518
swing,0.05,ettm1,rmse,0.1532494872808456
swing,0.07,ettm1,rmse,0.2092358171939849
swing,0.1,ettm1,rmse,0.2940529286861419
swing,0.15,ettm1,rmse,0.441821813583374
swing,0.2,ettm1,rmse,0.5797026753425598
swing,0.25,ettm1,rmse,0.7559495568275452
swing,0.3,ettm1,rmse,0.8566462397575378
swing,0.4,ettm1,rmse,1.22298002243042
swing,0.5,ettm1,rmse,1.6267330646514893
swing,0.65,ettm1,rmse,2.2854254245758057
swing,0.8,ettm1,rmse,3.7922966480255127
sz,0.01,ettm1,nrmse,0.0016700462438166
sz,0.03,ettm1,nrmse,0.0050307572819292
sz,0.05,ettm1,nrmse,0.008320721797645
sz,0.07,ettm1,nrmse,0.0119223939254879
sz,0.1,ettm1,nrmse,0.0169814135879278
sz,0.15,ettm1,nrmse,0.0235175341367721
sz,0.2,ettm1,nrmse,0.0307472962886095
sz,0.25,ettm1,nrmse,0.0413296744227409
sz,0.3,ettm1,nrmse,0.0446182303130626
sz,0.4,ettm1,nrmse,0.0713550820946693
sz,0.5,ettm1,nrmse,0.087062731385231
sz,0.65,ettm1,nrmse,0.1295066922903061
sz,0.8,ettm1,nrmse,0.2118414640426635
pmc,0.01,ettm1,nrmse,0.0013841731706634
pmc,0.03,ettm1,nrmse,0.0046369084157049
pmc,0.05,ettm1,nrmse,0.0075174360536038
pmc,0.07,ettm1,nrmse,0.009971210733056
pmc,0.1,ettm1,nrmse,0.0133670009672641
pmc,0.15,ettm1,nrmse,0.0195344369858503
pmc,0.2,ettm1,nrmse,0.0250137131661176
pmc,0.25,ettm1,nrmse,0.0312570184469223
pmc,0.3,ettm1,nrmse,0.0359380654990673
pmc,0.4,ettm1,nrmse,0.0445561707019805
pmc,0.5,ettm1,nrmse,0.0507964231073856
pmc,0.65,ettm1,nrmse,0.0556485243141651
pmc,0.8,ettm1,nrmse,0.0597529485821723
swing,0.01,ettm1,nrmse,0.001234786468558
swing,0.03,ettm1,nrmse,0.0048313508741557
swing,0.05,ettm1,nrmse,0.0082833087071776
swing,0.07,ettm1,nrmse,0.0113094327971339
swing,0.1,ettm1,nrmse,0.0158938933163881
swing,0.15,ettm1,nrmse,0.0238809697329998
swing,0.2,ettm1,nrmse,0.0313335880637168
swing,0.25,ettm1,nrmse,0.040859930217266
swing,0.3,ettm1,nrmse,0.0463027022778987
swing,0.4,ettm1,nrmse,0.066103458404541
swing,0.5,ettm1,nrmse,0.0879267677664756
swing,0.65,ettm1,nrmse,0.1235298365354538
swing,0.8,ettm1,nrmse,0.2049779295921325
sz,0.01,ettm1,rse,0.0097262309864163
sz,0.03,ettm1,rse,0.0292987711727619
sz,0.05,ettm1,rse,0.0484592951834201
sz,0.07,ettm1,rse,0.0694351717829704
sz,0.1,ettm1,rse,0.098898559808731
sz,0.15,ettm1,rse,0.1369644403457641
sz,0.2,ettm1,rse,0.1790700703859329
sz,0.25,ettm1,rse,0.2407010942697525
sz,0.3,ettm1,rse,0.2598533928394317
sz,0.4,ettm1,rse,0.4155669510364532
sz,0.5,ettm1,rse,0.5070471167564392
sz,0.65,ettm1,rse,0.7542377710342407
sz,0.8,ettm1,rse,1.2337496280670166
pmc,0.01,ettm1,rse,0.0080613261088728
pmc,0.03,ettm1,rse,0.0270050223916769
pmc,0.05,ettm1,rse,0.0437810160219669
pmc,0.07,ettm1,rse,0.0580716244876384
pmc,0.1,ettm1,rse,0.0778484567999839
pmc,0.15,ettm1,rse,0.1137671768665313
pmc,0.2,ettm1,rse,0.1456780880689621
pmc,0.25,ettm1,rse,0.1820386499166488
pmc,0.3,ettm1,rse,0.2093007266521453
pmc,0.4,ettm1,rse,0.2594919502735138
pmc,0.5,ettm1,rse,0.2958347499370575
pmc,0.65,ettm1,rse,0.3240930736064911
pmc,0.8,ettm1,rse,0.3479969203472137
swing,0.01,ettm1,rse,0.007191308774054
swing,0.03,ettm1,rse,0.0281374454498291
swing,0.05,ettm1,rse,0.0482413992285728
swing,0.07,ettm1,rse,0.0658653378486633
swing,0.1,ettm1,rse,0.0925649106502533
swing,0.15,ettm1,rse,0.1390810757875442
swing,0.2,ettm1,rse,0.1824845820665359
swing,0.25,ettm1,rse,0.2379653304815292
swing,0.3,ettm1,rse,0.2696636319160461
swing,0.4,ettm1,rse,0.3849818110466003
swing,0.5,ettm1,rse,0.5120792388916016
swing,0.65,ettm1,rse,0.7194289565086365
swing,0.8,ettm1,rse,1.1937769651412964
sz,0.01,ettm1,corr,0.9999528527259828
sz,0.03,ettm1,corr,0.9995721578598022
sz,0.05,ettm1,corr,0.9988387823104858
