error,mae,rmse,nrmse,rse,corr,data_corr,eb,eblc,data
0.0,0.16143301,0.2521998,0.040928997,0.29171038,0.9605897,1.0,0.0,baseline,aus
0.003482348285615444,0.16951136,0.2594586,0.042107012,0.30010635,0.9592921,0.999692440032959,1.0,pmc,aus
0.012448654510080814,0.17408524,0.26395172,0.042836193,0.30530336,0.9575259,0.9960629343986511,3.0,pmc,aus
0.01941792294383049,0.18321353,0.27444914,0.044539798,0.31744534,0.95372105,0.9903934001922607,5.0,pmc,aus
0.026015589013695717,0.19768539,0.29252693,0.047473606,0.33835527,0.9466634,0.9826892018318176,7.0,pmc,aus
0.034696660935878754,0.2311493,0.33446628,0.054279856,0.38686502,0.9308171,0.9689946174621582,10.0,pmc,aus
0.04794355109333992,0.2861645,0.39964345,0.06485733,0.46225306,0.8967879,0.9399126172065735,15.0,pmc,aus
0.06206590682268143,0.36082613,0.48937854,0.07942025,0.5660464,0.8432576,0.8970233798027039,20.0,pmc,aus
0.08062482625246048,0.45737442,0.5766679,0.09358627,0.66701084,0.7842867,0.8187538385391235,25.0,pmc,aus
0.09702510386705399,0.5288437,0.648269,0.105206266,0.7498292,0.7116983,0.7229176163673401,30.0,pmc,aus
0.11487423628568649,0.63234514,0.78804886,0.12789086,0.91150755,0.47887883,0.5751596689224243,40.0,pmc,aus
0.12647110223770142,0.6693521,0.8329491,0.13517763,0.96344197,0.35805142,0.43459782004356384,50.0,pmc,aus
0.13711710274219513,0.70204437,0.87161046,0.14145191,1.0081601,0.20797996,0.21677613258361816,65.0,pmc,aus
0.14141945540905,0.7260366,0.90311575,0.14656483,1.0446012,0.0356214,0.04025375470519066,80.0,pmc,aus
0.003920435439795256,0.16951136,0.2594586,0.042107012,0.30010635,0.9592921,0.9996106624603271,1.0,swing,aus
0.012427234090864658,0.17408524,0.26395172,0.042836193,0.30530336,0.9575259,0.9961069822311401,3.0,swing,aus
0.020413117483258247,0.18321353,0.27444914,0.044539798,0.31744534,0.95372105,0.9894900918006897,5.0,swing,aus
0.02887113392353058,0.19768539,0.29252693,0.047473606,0.33835527,0.9466634,0.9788426756858826,7.0,swing,aus
0.043367911130189896,0.2311493,0.33446628,0.054279856,0.38686502,0.9308171,0.9522278904914856,10.0,swing,aus
0.0663982406258583,0.2861645,0.39964345,0.06485733,0.46225306,0.8967879,0.8878125548362732,15.0,swing,aus
0.09123175591230392,0.36082613,0.48937854,0.07942025,0.5660464,0.8432576,0.799135148525238,20.0,swing,aus
0.10396283864974976,0.45737442,0.5766679,0.09358627,0.66701084,0.7842867,0.7296761274337769,25.0,swing,aus
0.1284887045621872,0.5288437,0.648269,0.105206266,0.7498292,0.7116983,0.5803085565567017,30.0,swing,aus
0.17197486758232117,0.63234514,0.78804886,0.12789086,0.91150755,0.47887883,0.3409411907196045,40.0,swing,aus
0.19393649697303772,0.6693521,0.8329491,0.13517763,0.96344197,0.35805142,0.10610966384410858,50.0,swing,aus
0.19600674510002136,0.70204437,0.87161046,0.14145191,1.0081601,0.20797996,0.0773305743932724,65.0,swing,aus
0.2564467489719391,0.7260366,0.90311575,0.14656483,1.0446012,0.0356214,0.0773305743932724,80.0,swing,aus
0.004057503771036863,0.16951136,0.2594586,0.042107012,0.30010635,0.9592921,0.9995841383934021,0.01,sz,aus
0.01208622008562088,0.17408524,0.26395172,0.042836193,0.30530336,0.9575259,0.9963441491127014,0.03,sz,aus
0.019871201366186142,0.18321353,0.27444914,0.044539798,0.31744534,0.95372105,0.9902282953262329,0.05,sz,aus
0.027572812512516975,0.19768539,0.29252693,0.047473606,0.33835527,0.9466634,0.981465756893158,0.07,sz,aus
0.04003940150141716,0.2311493,0.33446628,0.054279856,0.38686502,0.9308171,0.9627144932746887,0.1,sz,aus
0.05779527127742767,0.2861645,0.39964345,0.06485733,0.46225306,0.8967879,0.9301509857177734,0.15,sz,aus
0.07415620237588882,0.36082613,0.48937854,0.07942025,0.5660464,0.8432576,0.888625979423523,0.2,sz,aus
0.09785999357700348,0.45737442,0.5766679,0.09358627,0.66701084,0.7842867,0.8455175161361694,0.25,sz,aus
0.1264057755470276,0.5288437,0.648269,0.105206266,0.7498292,0.7116983,0.7910627126693726,0.3,sz,aus
0.18382665514945984,0.63234514,0.78804886,0.12789086,0.91150755,0.47887883,0.6260331273078918,0.4,sz,aus
0.2536146640777588,0.6693521,0.8329491,0.13517763,0.96344197,0.35805142,0.5709723830223083,0.5,sz,aus
0.3042325973510742,0.70204437,0.87161046,0.14145191,1.0081601,0.20797996,0.4175652265548706,0.65,sz,aus
0.4639388620853424,0.7260366,0.90311575,0.14656483,1.0446012,0.0356214,0.7910094857215881,0.8,sz,aus
