eb,compression,tfe_metric,forecasting error,model,TFE,data,te_metric,te,cr
0,PMC,nrmse,0.069623526,DLINEAR,0,WEATHER,nrmse,0,1
0,PMC,nrmse,0.069108363,GRU,0,WEATHER,nrmse,0,1
0,PMC,nrmse,0.07038058,INFORMER,0,WEATHER,nrmse,0,1
0,PMC,nrmse,0.073629946,NBEATS,0,WEATHER,nrmse,0,1
0,PMC,nrmse,0.086052399,TRANSFORMER,0,WEATHER,nrmse,0,1
0.01,PMC,nrmse,0.069796376,DLINEAR,0.002476486,WEATHER,nrmse,0.017775726,13.86
0.01,PMC,nrmse,0.069141783,GRU,0.000483349,WEATHER,nrmse,0.017775726,13.86
0.01,PMC,nrmse,0.070361052,INFORMER,-0.00027754,WEATHER,nrmse,0.017775726,13.86
0.01,PMC,nrmse,0.073087819,NBEATS,-0.007417469,WEATHER,nrmse,0.017775726,13.86
0.01,PMC,nrmse,0.085188743,TRANSFORMER,-0.010138152,WEATHER,nrmse,0.017775726,13.86
0.013,PMC,nrmse,0.070655487,DLINEAR,0.014605536,WEATHER,nrmse,0.023189733,18.24
0.013,PMC,nrmse,0.069614995,GRU,0.007277628,WEATHER,nrmse,0.023189733,18.24
0.013,PMC,nrmse,0.070183828,INFORMER,-0.00280337,WEATHER,nrmse,0.023189733,18.24
0.013,PMC,nrmse,0.073479339,NBEATS,-0.002049638,WEATHER,nrmse,0.023189733,18.24
0.013,PMC,nrmse,0.085569706,TRANSFORMER,-0.005640937,WEATHER,nrmse,0.023189733,18.24
0.015,PMC,nrmse,0.070904288,DLINEAR,0.018063255,WEATHER,nrmse,0.026015451,21.8
0.015,PMC,nrmse,0.069891486,GRU,0.011204842,WEATHER,nrmse,0.026015451,21.8
0.015,PMC,nrmse,0.070214987,INFORMER,-0.002358369,WEATHER,nrmse,0.026015451,21.8
0.015,PMC,nrmse,0.073448755,NBEATS,-0.002466899,WEATHER,nrmse,0.026015451,21.8
0.015,PMC,nrmse,0.085903089,TRANSFORMER,-0.001738117,WEATHER,nrmse,0.026015451,21.8
0.017,PMC,nrmse,0.071448039,DLINEAR,0.025536223,WEATHER,nrmse,0.02891143,25.8
0.017,PMC,nrmse,0.070333242,GRU,0.017415366,WEATHER,nrmse,0.02891143,25.8
0.017,PMC,nrmse,0.071092959,INFORMER,0.010020399,WEATHER,nrmse,0.02891143,25.8
0.017,PMC,nrmse,0.07392339,NBEATS,0.00396958,WEATHER,nrmse,0.02891143,25.8
0.017,PMC,nrmse,0.086182479,TRANSFORMER,0.001509352,WEATHER,nrmse,0.02891143,25.8
0.02,PMC,nrmse,0.072573852,DLINEAR,0.040652736,WEATHER,nrmse,0.033304013,31.72
0.02,PMC,nrmse,0.071260232,GRU,0.030197337,WEATHER,nrmse,0.033304013,31.72
0.02,PMC,nrmse,0.072018251,INFORMER,0.022739668,WEATHER,nrmse,0.033304013,31.72
0.02,PMC,nrmse,0.075196598,NBEATS,0.020834084,WEATHER,nrmse,0.033304013,31.72
0.02,PMC,nrmse,0.086975232,TRANSFORMER,0.010610292,WEATHER,nrmse,0.033304013,31.72
0.023,PMC,nrmse,0.074205879,DLINEAR,0.061751885,WEATHER,nrmse,0.038289424,37.76
0.023,PMC,nrmse,0.073057011,GRU,0.054048852,WEATHER,nrmse,0.038289424,37.76
0.023,PMC,nrmse,0.072817925,INFORMER,0.033471781,WEATHER,nrmse,0.038289424,37.76
0.023,PMC,nrmse,0.076169055,NBEATS,0.033335184,WEATHER,nrmse,0.038289424,37.76
0.023,PMC,nrmse,0.087795753,TRANSFORMER,0.019856928,WEATHER,nrmse,0.038289424,37.76
0.025,PMC,nrmse,0.074754868,DLINEAR,0.068642239,WEATHER,nrmse,0.040567387,41.45
0.025,PMC,nrmse,0.073543169,GRU,0.060302071,WEATHER,nrmse,0.040567387,41.45
0.025,PMC,nrmse,0.074068375,INFORMER,0.049789067,WEATHER,nrmse,0.040567387,41.45
0.025,PMC,nrmse,0.077220425,NBEATS,0.0464965,WEATHER,nrmse,0.040567387,41.45
0.025,PMC,nrmse,0.088568453,TRANSFORMER,0.028408011,WEATHER,nrmse,0.040567387,41.45
0.027,PMC,nrmse,0.075877693,DLINEAR,0.082424309,WEATHER,nrmse,0.043553621,46.69
0.027,PMC,nrmse,0.075326137,GRU,0.082544708,WEATHER,nrmse,0.043553621,46.69
0.027,PMC,nrmse,0.075355776,INFORMER,0.066022756,WEATHER,nrmse,0.043553621,46.69
0.027,PMC,nrmse,0.079013996,NBEATS,0.068140464,WEATHER,nrmse,0.043553621,46.69
0.027,PMC,nrmse,0.090289451,TRANSFORMER,0.046927432,WEATHER,nrmse,0.043553621,46.69
0.03,PMC,nrmse,0.077826183,DLINEAR,0.10539714,WEATHER,nrmse,0.047341563,52.97
0.03,PMC,nrmse,0.076944888,GRU,0.10184594,WEATHER,nrmse,0.047341563,52.97
0.03,PMC,nrmse,0.076432455,INFORMER,0.079179396,WEATHER,nrmse,0.047341563,52.97
0.03,PMC,nrmse,0.081439789,NBEATS,0.095897152,WEATHER,nrmse,0.047341563,52.97
0.03,PMC,nrmse,0.091977846,TRANSFORMER,0.064422543,WEATHER,nrmse,0.047341563,52.97
0,SWING,nrmse,0.069623526,DLINEAR,0,WEATHER,nrmse,0,1
0,SWING,nrmse,0.069518961,GRU,0,WEATHER,nrmse,0,1
0,SWING,nrmse,0.068961751,INFORMER,0,WEATHER,nrmse,0,1
0,SWING,nrmse,0.073807605,NBEATS,0,WEATHER,nrmse,0,1
0,SWING,nrmse,0.086556572,TRANSFORMER,0,WEATHER,nrmse,0,1
0.01,SWING,nrmse,0.069464948,DLINEAR,-0.002282851,WEATHER,nrmse,0.021307981,6.09
0.01,SWING,nrmse,0.069627162,GRU,0.001554006,WEATHER,nrmse,0.021307981,6.09
0.01,SWING,nrmse,0.069266871,INFORMER,0.00440499,WEATHER,nrmse,0.021307981,6.09
0.01,SWING,nrmse,0.072657976,NBEATS,-0.015822465,WEATHER,nrmse,0.021307981,6.09
0.01,SWING,nrmse,0.08633152,TRANSFORMER,-0.002606837,WEATHER,nrmse,0.021307981,6.09
0.013,SWING,nrmse,0.070586801,DLINEAR,0.013646665,WEATHER,nrmse,0.026849324,8.17
0.013,SWING,nrmse,0.071132518,GRU,0.022683821,WEATHER,nrmse,0.026849324,8.17
0.013,SWING,nrmse,0.070505153,INFORMER,0.021890636,WEATHER,nrmse,0.026849324,8.17
0.013,SWING,nrmse,0.074167185,NBEATS,0.004848235,WEATHER,nrmse,0.026849324,8.17
0.013,SWING,nrmse,0.087833796,TRANSFORMER,0.014541364,WEATHER,nrmse,0.026849324,8.17
0.015,SWING,nrmse,0.071180917,DLINEAR,0.021879335,WEATHER,nrmse,0.030919258,10.11
0.015,SWING,nrmse,0.071786102,GRU,0.031581892,WEATHER,nrmse,0.030919258,10.11
0.015,SWING,nrmse,0.071410414,INFORMER,0.03429,WEATHER,nrmse,0.030919258,10.11
0.015,SWING,nrmse,0.074049756,NBEATS,0.003270116,WEATHER,nrmse,0.030919258,10.11
0.015,SWING,nrmse,0.088369813,TRANSFORMER,0.020518775,WEATHER,nrmse,0.030919258,10.11
0.017,SWING,nrmse,0.072532646,DLINEAR,0.040107735,WEATHER,nrmse,0.035241514,12.14
0.017,SWING,nrmse,0.073283527,GRU,0.051369881,WEATHER,nrmse,0.035241514,12.14
0.017,SWING,nrmse,0.072350644,INFORMER,0.046839844,WEATHER,nrmse,0.035241514,12.14
0.017,SWING,nrmse,0.075327877,NBEATS,0.020182068,WEATHER,nrmse,0.035241514,12.14
0.017,SWING,nrmse,0.090530958,TRANSFORMER,0.043900845,WEATHER,nrmse,0.035241514,12.14
0.02,SWING,nrmse,0.073331449,DLINEAR,0.050563885,WEATHER,nrmse,0.039815348,15.5
0.02,SWING,nrmse,0.074539147,GRU,0.067349661,WEATHER,nrmse,0.039815348,15.5
0.02,SWING,nrmse,0.073644742,INFORMER,0.063588947,WEATHER,nrmse,0.039815348,15.5
0.02,SWING,nrmse,0.075530216,NBEATS,0.022806919,WEATHER,nrmse,0.039815348,15.5
0.02,SWING,nrmse,0.091252696,TRANSFORMER,0.051462845,WEATHER,nrmse,0.039815348,15.5
0.023,SWING,nrmse,0.07596086,DLINEAR,0.083428933,WEATHER,nrmse,0.045955367,18.68
0.023,SWING,nrmse,0.07723026,GRU,0.099848153,WEATHER,nrmse,0.045955367,18.68
0.023,SWING,nrmse,0.074955393,INFORMER,0.079962785,WEATHER,nrmse,0.045955367,18.68
0.023,SWING,nrmse,0.078400131,NBEATS,0.058578049,WEATHER,nrmse,0.045955367,18.68
0.023,SWING,nrmse,0.093364749,TRANSFORMER,0.072920205,WEATHER,nrmse,0.045955367,18.68
0.025,SWING,nrmse,0.076619368,DLINEAR,0.091306442,WEATHER,nrmse,0.049836341,21.11
0.025,SWING,nrmse,0.078100782,GRU,0.10988137,WEATHER,nrmse,0.049836341,21.11
0.025,SWING,nrmse,0.075859174,INFORMER,0.090924051,WEATHER,nrmse,0.049836341,21.11
0.025,SWING,nrmse,0.078883607,NBEATS,0.064348,WEATHER,nrmse,0.049836341,21.11
0.025,SWING,nrmse,0.094324376,TRANSFORMER,0.082352031,WEATHER,nrmse,0.049836341,21.11
0.027,SWING,nrmse,0.079981256,DLINEAR,0.129501968,WEATHER,nrmse,0.057026818,23.89
0.027,SWING,nrmse,0.081981033,GRU,0.15201165,WEATHER,nrmse,0.057026818,23.89
0.027,SWING,nrmse,0.079807296,INFORMER,0.135896668,WEATHER,nrmse,0.057026818,23.89
0.027,SWING,nrmse,0.081506323,NBEATS,0.094455475,WEATHER,nrmse,0.057026818,23.89
0.027,SWING,nrmse,0.096851509,TRANSFORMER,0.106296089,WEATHER,nrmse,0.057026818,23.89
0.03,SWING,nrmse,0.08184389,DLINEAR,0.149313089,WEATHER,nrmse,0.06063731,28.05
0.03,SWING,nrmse,0.083605625,GRU,0.168489426,WEATHER,nrmse,0.06063731,28.05
0.03,SWING,nrmse,0.080729317,INFORMER,0.14576571,WEATHER,nrmse,0.06063731,28.05
0.03,SWING,nrmse,0.083979823,NBEATS,0.12112693,WEATHER,nrmse,0.06063731,28.05
0.03,SWING,nrmse,0.096792128,TRANSFORMER,0.105747809,WEATHER,nrmse,0.06063731,28.05
0,SZ,nrmse,0.069623526,DLINEAR,0,WEATHER,nrmse,0,1
0,SZ,nrmse,0.06914727,GRU,0,WEATHER,nrmse,0,1
0,SZ,nrmse,0.069987193,INFORMER,0,WEATHER,nrmse,0,1
0,SZ,nrmse,0.073710214,NBEATS,0,WEATHER,nrmse,0,1
0,SZ,nrmse,0.084083833,TRANSFORMER,0,WEATHER,nrmse,0,1
0.01,SZ,nrmse,0.070975635,DLINEAR,0.019050326,WEATHER,nrmse,0.022364749,13.66118
0.01,SZ,nrmse,0.073214494,GRU,0.055552163,WEATHER,nrmse,0.022364749,13.66118
0.01,SZ,nrmse,0.072524011,INFORMER,0.034979014,WEATHER,nrmse,0.022364749,13.66118
0.01,SZ,nrmse,0.076958496,NBEATS,0.042208228,WEATHER,nrmse,0.022364749,13.66118
0.01,SZ,nrmse,0.089330252,TRANSFORMER,0.058730602,WEATHER,nrmse,0.022364749,13.66118
0.013,SZ,nrmse,0.071590587,DLINEAR,0.027476535,WEATHER,nrmse,0.02851115,14.93
0.013,SZ,nrmse,0.074914757,GRU,0.076987328,WEATHER,nrmse,0.02851115,14.93
0.013,SZ,nrmse,0.074454367,INFORMER,0.059998823,WEATHER,nrmse,0.02851115,14.93
