eb,compression,tfe_metric,forecasting error,model,TFE,data,te_metric,te
0.0,PMC,nrmse,0.0696235261857509,DLINEAR,0.0,WEATHER,nrmse,0.0
0.0,PMC,nrmse,0.0691083632409572,GRU,0.0,WEATHER,nrmse,0.0
0.0,PMC,nrmse,0.0703805796802043,INFORMER,0.0,WEATHER,nrmse,0.0
0.0,PMC,nrmse,0.0736299455165863,NBEATS,0.0,WEATHER,nrmse,0.0
0.0,PMC,nrmse,0.0860523991286754,TRANSFORMER,0.0,WEATHER,nrmse,0.0
0.01,PMC,nrmse,0.0697963759303093,DLINEAR,0.0024764859529523,WEATHER,nrmse,0.0177757255733013
0.01,PMC,nrmse,0.0691417828202247,GRU,0.0004833485325999,WEATHER,nrmse,0.0177757255733013
0.01,PMC,nrmse,0.0703610517084598,INFORMER,-0.0002775395090086,WEATHER,nrmse,0.0177757255733013
0.01,PMC,nrmse,0.0730878189206123,NBEATS,-0.0074174685191094,WEATHER,nrmse,0.0177757255733013
0.01,PMC,nrmse,0.0851887427270412,TRANSFORMER,-0.0101381517555846,WEATHER,nrmse,0.0177757255733013
0.013,PMC,nrmse,0.0706554874777793,DLINEAR,0.0146055363690321,WEATHER,nrmse,0.0231897328048944
0.013,PMC,nrmse,0.0696149952709674,GRU,0.0072776278736814,WEATHER,nrmse,0.0231897328048944
0.013,PMC,nrmse,0.0701838284730911,INFORMER,-0.0028033695424385,WEATHER,nrmse,0.0231897328048944
0.013,PMC,nrmse,0.0734793394804,NBEATS,-0.0020496378608094,WEATHER,nrmse,0.0231897328048944
0.013,PMC,nrmse,0.0855697058141231,TRANSFORMER,-0.0056409369409406,WEATHER,nrmse,0.0231897328048944
0.015,PMC,nrmse,0.0709042884409427,DLINEAR,0.0180632551761457,WEATHER,nrmse,0.0260154511779546
0.015,PMC,nrmse,0.0698914863169193,GRU,0.0112048422094082,WEATHER,nrmse,0.0260154511779546
0.015,PMC,nrmse,0.0702149868011474,INFORMER,-0.0023583694393599,WEATHER,nrmse,0.0260154511779546
0.015,PMC,nrmse,0.0734487548470497,NBEATS,-0.0024668991314273,WEATHER,nrmse,0.0260154511779546
0.015,PMC,nrmse,0.0859030894935131,TRANSFORMER,-0.0017381171741627,WEATHER,nrmse,0.0260154511779546
0.017,PMC,nrmse,0.0714480392634868,DLINEAR,0.0255362231986163,WEATHER,nrmse,0.028911430388689
0.017,PMC,nrmse,0.0703332424163818,GRU,0.0174153662385298,WEATHER,nrmse,0.028911430388689
0.017,PMC,nrmse,0.0710929594933986,INFORMER,0.0100203989012505,WEATHER,nrmse,0.028911430388689
0.017,PMC,nrmse,0.0739233903586864,NBEATS,0.0039695804085319,WEATHER,nrmse,0.028911430388689
0.017,PMC,nrmse,0.0861824788153171,TRANSFORMER,0.001509351882538,WEATHER,nrmse,0.028911430388689
0.02,PMC,nrmse,0.0725738517940044,DLINEAR,0.04065273559722,WEATHER,nrmse,0.0333040133118629
0.02,PMC,nrmse,0.0712602324783802,GRU,0.0301973367554738,WEATHER,nrmse,0.0333040133118629
0.02,PMC,nrmse,0.0720182508230209,INFORMER,0.0227396684049026,WEATHER,nrmse,0.0333040133118629
0.02,PMC,nrmse,0.0751965977251529,NBEATS,0.0208340836681572,WEATHER,nrmse,0.0333040133118629
0.02,PMC,nrmse,0.0869752317667007,TRANSFORMER,0.0106102923703689,WEATHER,nrmse,0.0333040133118629
0.023,PMC,nrmse,0.0742058791220188,DLINEAR,0.0617518853018775,WEATHER,nrmse,0.0382894240319728
0.023,PMC,nrmse,0.073057010769844,GRU,0.054048851537691,WEATHER,nrmse,0.0382894240319728
0.023,PMC,nrmse,0.072817925363779,INFORMER,0.0334717814521407,WEATHER,nrmse,0.0382894240319728
0.023,PMC,nrmse,0.076169054955244,NBEATS,0.0333351836930317,WEATHER,nrmse,0.0382894240319728
0.023,PMC,nrmse,0.087795753031969,TRANSFORMER,0.0198569275060353,WEATHER,nrmse,0.0382894240319728
0.025,PMC,nrmse,0.0747548677027225,DLINEAR,0.0686422392903881,WEATHER,nrmse,0.0405673868954181
0.025,PMC,nrmse,0.0735431686043739,GRU,0.0603020708459513,WEATHER,nrmse,0.0405673868954181
0.025,PMC,nrmse,0.0740683749318122,INFORMER,0.04978906658885,WEATHER,nrmse,0.0405673868954181
0.025,PMC,nrmse,0.0772204250097274,NBEATS,0.046496500021708,WEATHER,nrmse,0.0405673868954181
0.025,PMC,nrmse,0.088568452745676,TRANSFORMER,0.028408011419432,WEATHER,nrmse,0.0405673868954181
0.027,PMC,nrmse,0.0758776925504207,DLINEAR,0.0824243088377247,WEATHER,nrmse,0.0435536205768585
0.027,PMC,nrmse,0.0753261372447013,GRU,0.0825447080014909,WEATHER,nrmse,0.0435536205768585
0.027,PMC,nrmse,0.0753557756543159,INFORMER,0.0660227557995637,WEATHER,nrmse,0.0435536205768585
0.027,PMC,nrmse,0.0790139958262443,NBEATS,0.0681404636401099,WEATHER,nrmse,0.0435536205768585
0.027,PMC,nrmse,0.0902894511818885,TRANSFORMER,0.046927431696063,WEATHER,nrmse,0.0435536205768585
0.03,PMC,nrmse,0.0778261832892894,DLINEAR,0.1053971395853786,WEATHER,nrmse,0.0473415628075599
0.03,PMC,nrmse,0.076944887638092,GRU,0.1018459398367524,WEATHER,nrmse,0.0473415628075599
0.03,PMC,nrmse,0.0764324553310871,INFORMER,0.0791793960388623,WEATHER,nrmse,0.0473415628075599
0.03,PMC,nrmse,0.0814397893846035,NBEATS,0.0958971520804752,WEATHER,nrmse,0.0473415628075599
0.03,PMC,nrmse,0.0919778458774089,TRANSFORMER,0.0644225431918804,WEATHER,nrmse,0.0473415628075599
0.0,SWING,nrmse,0.0696235261857509,DLINEAR,0.0,WEATHER,nrmse,0.0
0.0,SWING,nrmse,0.0695189610123634,GRU,0.0,WEATHER,nrmse,0.0
0.0,SWING,nrmse,0.0689617507159709,INFORMER,0.0,WEATHER,nrmse,0.0
0.0,SWING,nrmse,0.0738076046109199,NBEATS,0.0,WEATHER,nrmse,0.0
0.0,SWING,nrmse,0.0865565724670887,TRANSFORMER,0.0,WEATHER,nrmse,0.0
0.01,SWING,nrmse,0.069464948028326,DLINEAR,-0.0022828514513569,WEATHER,nrmse,0.0213079806417226
0.01,SWING,nrmse,0.0696271620690822,GRU,0.0015540064179471,WEATHER,nrmse,0.0213079806417226
0.01,SWING,nrmse,0.0692668706178665,INFORMER,0.0044049904257823,WEATHER,nrmse,0.0213079806417226
0.01,SWING,nrmse,0.0726579762995243,NBEATS,-0.0158224653361716,WEATHER,nrmse,0.0213079806417226
0.01,SWING,nrmse,0.086331520229578,TRANSFORMER,-0.0026068374205877,WEATHER,nrmse,0.0213079806417226
0.013,SWING,nrmse,0.0705868005752563,DLINEAR,0.0136466645556261,WEATHER,nrmse,0.0268493238836526
0.013,SWING,nrmse,0.071132518351078,GRU,0.0226838213536994,WEATHER,nrmse,0.0268493238836526
0.013,SWING,nrmse,0.0705051533877849,INFORMER,0.0218906363244846,WEATHER,nrmse,0.0268493238836526
0.013,SWING,nrmse,0.0741671845316886,NBEATS,0.0048482347420789,WEATHER,nrmse,0.0268493238836526
0.013,SWING,nrmse,0.0878337956964969,TRANSFORMER,0.0145413643948798,WEATHER,nrmse,0.0268493238836526
0.015,SWING,nrmse,0.0711809173226356,DLINEAR,0.0218793350165134,WEATHER,nrmse,0.0309192575514316
0.015,SWING,nrmse,0.0717861019074916,GRU,0.0315818916877501,WEATHER,nrmse,0.0309192575514316
0.015,SWING,nrmse,0.0714104138314724,INFORMER,0.0342900003531741,WEATHER,nrmse,0.0309192575514316
0.015,SWING,nrmse,0.0740497559309005,NBEATS,0.0032701163823763,WEATHER,nrmse,0.0309192575514316
0.015,SWING,nrmse,0.0883698128163814,TRANSFORMER,0.0205187754902268,WEATHER,nrmse,0.0309192575514316
0.017,SWING,nrmse,0.0725326463580131,DLINEAR,0.0401077351831766,WEATHER,nrmse,0.0352415144443511
0.017,SWING,nrmse,0.073283527046442,GRU,0.0513698805966704,WEATHER,nrmse,0.0352415144443511
0.017,SWING,nrmse,0.0723506435751915,INFORMER,0.0468398440118731,WEATHER,nrmse,0.0352415144443511
0.017,SWING,nrmse,0.0753278769552707,NBEATS,0.0201820681240429,WEATHER,nrmse,0.0352415144443511
0.017,SWING,nrmse,0.0905309580266475,TRANSFORMER,0.043900845038986,WEATHER,nrmse,0.0352415144443511
0.02,SWING,nrmse,0.0733314491808414,DLINEAR,0.0505638854340169,WEATHER,nrmse,0.0398153476417064
0.02,SWING,nrmse,0.0745391473174095,GRU,0.0673496610266907,WEATHER,nrmse,0.0398153476417064
0.02,SWING,nrmse,0.0736447423696518,INFORMER,0.0635889474658643,WEATHER,nrmse,0.0398153476417064
