,eb,eblc,metric,value,model,tfe,data,te_metric,te
0,0.0,pmc,mae,0.2785204350948334,dlinear,0.0,weather,rmse,0.0
0,0.0,pmc,mae,0.2785204350948334,dlinear,0.0,weather,mae,0.0
0,0.0,pmc,mae,0.2785204350948334,dlinear,0.0,weather,nrmse,0.0
0,0.0,pmc,mae,0.2785204350948334,dlinear,0.0,weather,rse,0.0
0,0.0,pmc,mae,0.2785204350948334,dlinear,0.0,weather,corr,1.0
1,0.0,pmc,mae,0.2611204385757446,gru,0.0,weather,rmse,0.0
1,0.0,pmc,mae,0.2611204385757446,gru,0.0,weather,mae,0.0
1,0.0,pmc,mae,0.2611204385757446,gru,0.0,weather,nrmse,0.0
1,0.0,pmc,mae,0.2611204385757446,gru,0.0,weather,rse,0.0
1,0.0,pmc,mae,0.2611204385757446,gru,0.0,weather,corr,1.0
2,0.0,pmc,mae,0.2767044454813003,informer,0.0,weather,rmse,0.0
2,0.0,pmc,mae,0.2767044454813003,informer,0.0,weather,mae,0.0
2,0.0,pmc,mae,0.2767044454813003,informer,0.0,weather,nrmse,0.0
2,0.0,pmc,mae,0.2767044454813003,informer,0.0,weather,rse,0.0
2,0.0,pmc,mae,0.2767044454813003,informer,0.0,weather,corr,1.0
3,0.0,pmc,mae,0.2843516767024994,nbeats,0.0,weather,rmse,0.0
3,0.0,pmc,mae,0.2843516767024994,nbeats,0.0,weather,mae,0.0
3,0.0,pmc,mae,0.2843516767024994,nbeats,0.0,weather,nrmse,0.0
3,0.0,pmc,mae,0.2843516767024994,nbeats,0.0,weather,rse,0.0
3,0.0,pmc,mae,0.2843516767024994,nbeats,0.0,weather,corr,1.0
4,0.0,pmc,mae,0.3106121271848678,transformer,0.0,weather,rmse,0.0
4,0.0,pmc,mae,0.3106121271848678,transformer,0.0,weather,mae,0.0
4,0.0,pmc,mae,0.3106121271848678,transformer,0.0,weather,nrmse,0.0
4,0.0,pmc,mae,0.3106121271848678,transformer,0.0,weather,rse,0.0
4,0.0,pmc,mae,0.3106121271848678,transformer,0.0,weather,corr,1.0
5,0.01,pmc,mae,0.2818996608257293,dlinear,0.011987335213521175,weather,mae,1.5437424182891846
5,0.01,pmc,mae,0.2818996608257293,dlinear,0.011987335213521175,weather,rmse,1.900225043296814
